file,status,has_paid,receipt_for,keyword_class,allocation,split_detail,subtotal_zar,vat_zar,total_zar
2026-02-04T18-48 Transaction #25542015848816718-25542015908816712.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-04T21-21 Transaction #25706110895740548-25706110945740543.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-05T04-51 Transaction #25719427894408844-25644790971872543.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-05T07-42 Transaction #25593921663626143-25593921720292804.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-05T10-04 Transaction #25611591281859178-25656149774069989.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-05T11-43 Transaction #25656908383994128-25722389227446044.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-05T13-24 Transaction #25617787121239596-25713152585036379.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-07T02-02 Transaction #25566553816362921-25612826285069014.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 52.74 VAT 7.91 total 60.65,52.74,7.91,60.65
2026-02-07T08-00 Transaction #25731972609821043-25631861166498856.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-07T09-42 Transaction #25677058131979153-25742621518756148.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-07T11-37 Transaction #25677839061901060-25677839141901052.pdf,kept,True,Frank Smit,Vaalpenskraal,campaign_lines,Vaalpenskraal: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-17T07-04 Transaction #25829859303365706-25839855522366080.pdf,kept,True,Frank Smit,Both_keywords,campaign_lines,Miwesu: sub 13.17 VAT 1.98 total 15.15; Vaalpenskraal: sub 19.83 VAT 2.97 total 22.80,33.00,4.95,37.95
2026-02-17T10-01 Transaction #25766310556387250-25840937518924547.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-17T12-15 Transaction #25767241322960840-25714971808187794.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-17T13-09 Transaction #25751466491204986-25731735026511469.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-17T14-06 Transaction #25715736428111332-25927741936910774.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-17T14-57 Transaction #25752251421126493-25732517393099899.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-17T15-48 Transaction #25777872611897704-25928512836833684.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-17T16-44 Transaction #25737907372560903-25928951616789806.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
2026-02-17T18-22 Transaction #25779086898442942-25769980349353604.pdf,kept,True,Frank Smit,Miwesu,campaign_lines,Miwesu: sub 33.00 VAT 4.95 total 37.95,33.00,4.95,37.95
